#No.	Label Name:		R	G	B	A
1	L-V1	29	130	102	255
2	L-MST	25	171	222	255
3	L-V6	128	241	93	255
4	L-V2	253	139	224	255
5	L-V3	168	80	232	255
6	L-V4	229	96	215	255
7	L-V8	44	130	115	255
8	L-4	162	151	149	255
9	L-3b	133	50	31	255
10	L-FEF	15	158	30	255
11	L-PEF	107	254	2	255
12	L-55b	253	184	111	255
13	L-V3A	124	231	92	255
14	L-RSC	64	151	150	255
15	L-POS2	106	134	34	255
16	L-V7	28	36	180	255
17	L-IPS1	104	64	94	255
18	L-FFC	105	149	185	255
19	L-V3B	206	228	100	255
20	L-LO1	5	183	111	255
21	L-LO2	61	196	63	255
22	L-PIT	18	204	74	255
23	L-MT	82	247	173	255
24	L-A1	171	84	111	255
25	L-PSL	36	202	199	255
26	L-SFL	142	135	199	255
27	L-PCV	62	153	223	255
28	L-STV	80	72	132	255
29	L-7Pm	82	180	97	255
30	L-7m	206	178	210	255
31	L-POS1	253	134	210	255
32	L-23d	79	84	155	255
33	L-v23ab	226	244	164	255
34	L-d23ab	225	252	170	255
35	L-31pv	140	111	34	255
36	L-5m	184	177	138	255
37	L-5mv	7	123	202	255
38	L-23c	231	199	176	255
39	L-5L	254	91	40	255
40	L-24dd	0	59	236	255
41	L-24dv	136	27	23	255
42	L-7AL	146	6	162	255
43	L-SCEF	248	158	11	255
44	L-6ma	221	243	133	255
45	L-7Am	184	117	84	255
46	L-7PL	117	30	205	255
47	L-7PC	241	176	170	255
48	L-LIPv	135	109	106	255
49	L-VIP	142	125	125	255
50	L-MIP	110	172	202	255
51	L-1	130	176	219	255
52	L-2	250	203	197	255
53	L-3a	173	187	189	255
54	L-6d	221	208	255	255
55	L-6mp	50	136	130	255
56	L-6v	77	244	216	255
57	L-p24pr	184	146	225	255
58	L-33pr	62	231	23	255
59	L-a24pr	115	103	105	255
60	L-p32pr	37	29	249	255
61	L-a24	233	230	195	255
62	L-d32	180	215	33	255
63	L-8BM	74	150	14	255
64	L-p32	24	32	129	255
65	L-10r	255	78	57	255
66	L-47m	50	147	45	255
67	L-8Av	63	224	141	255
68	L-8Ad	89	33	112	255
69	L-9m	103	15	245	255
70	L-8BL	10	234	127	255
71	L-9p	103	254	250	255
72	L-10d	133	26	218	255
73	L-8C	145	45	166	255
74	L-44	25	213	98	255
75	L-45	104	114	20	255
76	L-47l	2	122	180	255
77	L-a47r	64	101	149	255
78	L-6r	126	144	113	255
79	L-IFJa	10	67	41	255
80	L-IFJp	224	113	119	255
81	L-IFSp	100	109	27	255
82	L-IFSa	196	247	230	255
83	L-p9-46v	146	70	156	255
84	L-46	179	241	7	255
85	L-a9-46v	129	222	61	255
